Text,Labels,Normalisasi,Tokenized_Text,Stemmed_Text
tunda milu,positif,tunda milu,"['tunda', 'milu']","['tunda', 'milu']"
kudeta partai yg laku orang istana biar jokowi yg timbul kondisi panas alih tdk aman milu tunda,positif,kudeta partai yang laku orang istana biar jokowi yang timbul kondisi panas alih tidak aman milu tunda,"['kudeta', 'partai', 'yang', 'laku', 'orang', 'istana', 'biar', 'jokowi', 'yang', 'timbul', 'kondisi', 'panas', 'alih', 'tidak', 'aman', 'milu', 'tunda']","['kudeta', 'partai', 'yang', 'laku', 'orang', 'istana', 'biar', 'jokowi', 'yang', 'timbul', 'kondisi', 'pana', 'alih', 'tidak', 'aman', 'milu', 'tunda']"
lanjut berita presiden perioda tunda milu media berita digital tigaperioda tundapemilu,positif,lanjut berita presiden perioda tunda milu media berita digital tigaperioda tundapemilu,"['lanjut', 'berita', 'presiden', 'perioda', 'tunda', 'milu', 'media', 'berita', 'digital', 'tigaperioda', 'tundapemilu']","['lanjut', 'berita', 'presiden', 'perioda', 'tunda', 'milu', 'media', 'berita', 'digit', 'tigaperioda', 'tundapemilu']"
otak ya yg tunda milu panjang kekuasaaan,negatif,otak ya yang tunda milu panjang kekuasaaan,"['otak', 'ya', 'yang', 'tunda', 'milu', 'panjang', 'kekuasaaan']","['otak', 'ya', 'yang', 'tunda', 'milu', 'panjang', 'kekuasaaan']"
jg dalang si sebar hoax big data pimpin geng perompak konstitusi dgn teror tunda milu priode,negatif,juga dalang sih sebar hoax big data pimpin geng perompak konstitusi dengan teror tunda milu priode,"['juga', 'dalang', 'sih', 'sebar', 'hoax', 'big', 'data', 'pimpin', 'geng', 'perompak', 'konstitusi', 'dengan', 'teror', 'tunda', 'milu', 'priode']","['juga', 'dalang', 'sih', 'sebar', 'hoax', 'big', 'data', 'pimpin', 'geng', 'perompak', 'konstitusi', 'dengan', 'teror', 'tunda', 'milu', 'priod']"
terima kasih megawati wacana tunda milu panjang jabat presiden langsung sirna,positif,terima kasih megawati wacana tunda milu panjang jabat presiden langsung sirna,"['terima', 'kasih', 'megawati', 'wacana', 'tunda', 'milu', 'panjang', 'jabat', 'presiden', 'langsung', 'sirna']","['terima', 'kasih', 'megawati', 'wacana', 'tunda', 'milu', 'panjang', 'jabat', 'presiden', 'langsung', 'sirna']"
skenario gagal tunda milu arah calon tunggal proporsional tutup amp presiden mandataris dpr aman rezim,negatif,skenario gagal tunda milu arah calon tunggal proporsional tutup amp presiden mandataris dpr aman rezim,"['skenario', 'gagal', 'tunda', 'milu', 'arah', 'calon', 'tunggal', 'proporsional', 'tutup', 'amp', 'presiden', 'mandataris', 'dpr', 'aman', 'rezim']","['skenario', 'gagal', 'tunda', 'milu', 'arah', 'calon', 'tunggal', 'proporsion', 'tutup', 'amp', 'presiden', 'mandatari', 'dpr', 'aman', 'rezim']"
pastas aja tunda milu,positif,pastas saja tunda milu,"['pastas', 'saja', 'tunda', 'milu']","['pasta', 'saja', 'tunda', 'milu']"
boleh jadi buruk ya nkri bubar sejarah nya bubar nya negara satu uni sovyet gt rusia plus yugoslavia gt bosnia etc bubar baek tuh dpada status ri now gagal p tundapemilu curang capres lawan,negatif,boleh jadi buruk ya nkri bubar sejarah nya bubar nya negara satu uni sovyet begitu rusia plus yugoslavia begitu bosnia etc bubar baik tuh dpada status ri now gagal p tundapemilu curang capres lawan,"['boleh', 'jadi', 'buruk', 'ya', 'nkri', 'bubar', 'sejarah', 'nya', 'bubar', 'nya', 'negara', 'satu', 'uni', 'sovyet', 'begitu', 'rusia', 'plus', 'yugoslavia', 'begitu', 'bosnia', 'etc', 'bubar', 'baik', 'tuh', 'dpada', 'status', 'ri', 'now', 'gagal', 'p', 'tundapemilu', 'curang', 'capres', 'lawan']","['boleh', 'jadi', 'buruk', 'ya', 'nkri', 'bubar', 'sejarah', 'nya', 'bubar', 'nya', 'negara', 'satu', 'uni', 'sovyet', 'begitu', 'rusia', 'plu', 'yugoslavia', 'begitu', 'bosnia', 'etc', 'bubar', 'baik', 'tuh', 'dpada', 'statu', 'ri', 'now', 'gagal', 'p', 'tundapemilu', 'curang', 'capr', 'lawan']"
kkb jgn alas tunda milu,negatif,kkb jangan alas tunda milu,"['kkb', 'jangan', 'alas', 'tunda', 'milu']","['kkb', 'jangan', 'ala', 'tunda', 'milu']"
penda demokrasi malu ikut upaya tunda milu dalih big data kasak kusuk nambah periode main atur terus naluri manusia ya,positif,penda demokrasi malu ikut upaya tunda milu dalih big data kasak kusuk menambah periode main atur terus naluri manusia ya,"['penda', 'demokrasi', 'malu', 'ikut', 'upaya', 'tunda', 'milu', 'dalih', 'big', 'data', 'kasak', 'kusuk', 'menambah', 'periode', 'main', 'atur', 'terus', 'naluri', 'manusia', 'ya']","['penda', 'demokrasi', 'malu', 'ikut', 'upaya', 'tunda', 'milu', 'dalih', 'big', 'data', 'kasak', 'kusuk', 'menambah', 'period', 'main', 'atur', 'teru', 'naluri', 'manusia', 'ya']"
drama politik kelas bingung angkat cawapres kuasa sikut milu tunda ya    ,positif,drama politik kelas bingung angkat cawapres kuasa sikut milu tunda ya,"['drama', 'politik', 'kelas', 'bingung', 'angkat', 'cawapres', 'kuasa', 'sikut', 'milu', 'tunda', 'ya']","['drama', 'politik', 'kela', 'bingung', 'angkat', 'cawapr', 'kuasa', 'sikut', 'milu', 'tunda', 'ya']"
pasca wacana periode amp tunda milu punah ambil sempat coba king maker redup    jurus samber gledek   pdip pdip comot pulang kader elektoralnya seraya titah kpd sang king maker gagal utk bawa masuk rombong orkes,positif,pasca wacana periode amp tunda milu punah ambil sempat coba king maker redup jurus samber gledek pdip pdip comot pulang kader elektoralnya seraya titah kepada sang king maker gagal untuk bawa masuk rombong orkes,"['pasca', 'wacana', 'periode', 'amp', 'tunda', 'milu', 'punah', 'ambil', 'sempat', 'coba', 'king', 'maker', 'redup', 'jurus', 'samber', 'gledek', 'pdip', 'pdip', 'comot', 'pulang', 'kader', 'elektoralnya', 'seraya', 'titah', 'kepada', 'sang', 'king', 'maker', 'gagal', 'untuk', 'bawa', 'masuk', 'rombong', 'orkes']","['pasca', 'wacana', 'period', 'amp', 'tunda', 'milu', 'punah', 'ambil', 'sempat', 'coba', 'king', 'maker', 'redup', 'juru', 'samber', 'gledek', 'pdip', 'pdip', 'comot', 'pulang', 'kader', 'elektoralnya', 'seraya', 'titah', 'kepada', 'sang', 'king', 'maker', 'gagal', 'untuk', 'bawa', 'masuk', 'rombong', 'ork']"
kasi kali kayak orang putus asa aja gimana nggak milu tunda biar siap matang tunggu ntar bilang ya tanding orang put,positif,kasih kali kayak orang putus asa saja bagaimana tidak milu tunda biar siap matang tunggu entar bilang ya tanding orang put,"['kasih', 'kali', 'kayak', 'orang', 'putus', 'asa', 'saja', 'bagaimana', 'tidak', 'milu', 'tunda', 'biar', 'siap', 'matang', 'tunggu', 'entar', 'bilang', 'ya', 'tanding', 'orang', 'put']","['kasih', 'kali', 'kayak', 'orang', 'putu', 'asa', 'saja', 'bagaimana', 'tidak', 'milu', 'tunda', 'biar', 'siap', 'matang', 'tunggu', 'entar', 'bilang', 'ya', 'tand', 'orang', 'put']"
gila viral pesan antipati apa drama t uang tuyul polisi vs kpk sampe isu negara milu tunda milu sampe laku garong lupa,negatif,gila viral pesan antipati apa drama t uang tuyul polisi vs kpk sampai isu negara milu tunda milu sampai laku garong lupa,"['gila', 'viral', 'pesan', 'antipati', 'apa', 'drama', 't', 'uang', 'tuyul', 'polisi', 'vs', 'kpk', 'sampai', 'isu', 'negara', 'milu', 'tunda', 'milu', 'sampai', 'laku', 'garong', 'lupa']","['gila', 'viral', 'pesan', 'antipati', 'apa', 'drama', 't', 'uang', 'tuyul', 'polisi', 'vs', 'kpk', 'sampai', 'isu', 'negara', 'milu', 'tunda', 'milu', 'sampai', 'laku', 'garong', 'lupa']"
doi nga paham yg pikir anti proyek jalan maybe something hiden usul periode tunda milu takut presiden sedih presiden,positif,doi tidak paham yang pikir anti proyek jalan maybe something hiden usul periode tunda milu takut presiden sedih presiden,"['doi', 'tidak', 'paham', 'yang', 'pikir', 'anti', 'proyek', 'jalan', 'maybe', 'something', 'hiden', 'usul', 'periode', 'tunda', 'milu', 'takut', 'presiden', 'sedih', 'presiden']","['doi', 'tidak', 'paham', 'yang', 'pikir', 'anti', 'proyek', 'jalan', 'mayb', 'someth', 'hiden', 'usul', 'period', 'tunda', 'milu', 'takut', 'presiden', 'sedih', 'presiden']"
curiga tabrak etika politik tata negara panas acau situasi ujung nya tunda milu,negatif,curiga tabrak etika politik tata negara panas acau situasi ujung nya tunda milu,"['curiga', 'tabrak', 'etika', 'politik', 'tata', 'negara', 'panas', 'acau', 'situasi', 'ujung', 'nya', 'tunda', 'milu']","['curiga', 'tabrak', 'etika', 'politik', 'tata', 'negara', 'pana', 'acau', 'situasi', 'ujung', 'nya', 'tunda', 'milu']"
piye mau tunda milu eh,positif,piye mau tunda milu eh,"['piye', 'mau', 'tunda', 'milu', 'eh']","['piy', 'mau', 'tunda', 'milu', 'eh']"
kejut eks geng periode tunda milu ya ganjar,positif,kejut eks geng periode tunda milu ya ganjar,"['kejut', 'eks', 'geng', 'periode', 'tunda', 'milu', 'ya', 'ganjar']","['kejut', 'ek', 'geng', 'period', 'tunda', 'milu', 'ya', 'ganjar']"
mah strategi tenggelam ambisi priode n tunda milu yg alas tunda n panjang jabat si jokowi krn tdk alas darurat paham ga lu,positif,mah strategi tenggelam ambisi priode n tunda milu yang alas tunda n panjang jabat sih jokowi karena tidak alas darurat paham tidak lu,"['mah', 'strategi', 'tenggelam', 'ambisi', 'priode', 'n', 'tunda', 'milu', 'yang', 'alas', 'tunda', 'n', 'panjang', 'jabat', 'sih', 'jokowi', 'karena', 'tidak', 'alas', 'darurat', 'paham', 'tidak', 'lu']","['mah', 'strategi', 'tenggelam', 'ambisi', 'priod', 'n', 'tunda', 'milu', 'yang', 'ala', 'tunda', 'n', 'panjang', 'jabat', 'sih', 'jokowi', 'karena', 'tidak', 'ala', 'darurat', 'paham', 'tidak', 'lu']"
lha kalain percaya jokowi ting milu calon percaya jokowi ting priode milu tunda dll semenjak gabung baris anies daya nelar ente speruh,positif,lah kalain percaya jokowi ting milu calon percaya jokowi ting priode milu tunda dll semenjak gabung baris anies daya nelar ente speruh,"['lah', 'kalain', 'percaya', 'jokowi', 'ting', 'milu', 'calon', 'percaya', 'jokowi', 'ting', 'priode', 'milu', 'tunda', 'dll', 'semenjak', 'gabung', 'baris', 'anies', 'daya', 'nelar', 'ente', 'speruh']","['lah', 'kalain', 'percaya', 'jokowi', 'ting', 'milu', 'calon', 'percaya', 'jokowi', 'ting', 'priod', 'milu', 'tunda', 'dll', 'semenjak', 'gabung', 'bari', 'ani', 'daya', 'nelar', 'ent', 'speruh']"
eks geng periode tunda milu ya ganjar,positif,eks geng periode tunda milu ya ganjar,"['eks', 'geng', 'periode', 'tunda', 'milu', 'ya', 'ganjar']","['ek', 'geng', 'period', 'tunda', 'milu', 'ya', 'ganjar']"
yaa aja gitu gimana yg konstitusi udah habis yaa gak periode tunda milu endorse pilih nya kuasa,positif,ya saja begitu bagaimana yang konstitusi sudah habis ya tidak periode tunda milu endorse pilih nya kuasa,"['ya', 'saja', 'begitu', 'bagaimana', 'yang', 'konstitusi', 'sudah', 'habis', 'ya', 'tidak', 'periode', 'tunda', 'milu', 'endorse', 'pilih', 'nya', 'kuasa']","['ya', 'saja', 'begitu', 'bagaimana', 'yang', 'konstitusi', 'sudah', 'habi', 'ya', 'tidak', 'period', 'tunda', 'milu', 'endors', 'pilih', 'nya', 'kuasa']"
emang mancing negeri chaos tunda milu lancar dah periode akal busuk laku,negatif,memang mancing negeri chaos tunda milu lancar deh periode akal busuk laku,"['memang', 'mancing', 'negeri', 'chaos', 'tunda', 'milu', 'lancar', 'deh', 'periode', 'akal', 'busuk', 'laku']","['memang', 'manc', 'negeri', 'chao', 'tunda', 'milu', 'lancar', 'deh', 'period', 'akal', 'busuk', 'laku']"
titik terang tdk periode tinggal tunggu tunda milu milu sesuai jadwal pilih partai figur pemiluserentak milu sesuaitahapan,positif,titik terang tidak periode tinggal tunggu tunda milu milu sesuai jadwal pilih partai figur pemiluserentak milu sesuaitahapan,"['titik', 'terang', 'tidak', 'periode', 'tinggal', 'tunggu', 'tunda', 'milu', 'milu', 'sesuai', 'jadwal', 'pilih', 'partai', 'figur', 'pemiluserentak', 'milu', 'sesuaitahapan']","['titik', 'terang', 'tidak', 'period', 'tinggal', 'tunggu', 'tunda', 'milu', 'milu', 'sesuai', 'jadwal', 'pilih', 'partai', 'figur', 'pemiluserentak', 'milu', 'sesuaitahapan']"
reformasi prima dobrak pintu ubah milu prima jg perjuangin amp pintu buka gimana bobrok kpu eh keroyok tuduh tunda milu,negatif,reformasi prima dobrak pintu ubah milu prima juga perjuangin amp pintu buka bagaimana bobrok kpu eh keroyok tuduh tunda milu,"['reformasi', 'prima', 'dobrak', 'pintu', 'ubah', 'milu', 'prima', 'juga', 'perjuangin', 'amp', 'pintu', 'buka', 'bagaimana', 'bobrok', 'kpu', 'eh', 'keroyok', 'tuduh', 'tunda', 'milu']","['reformasi', 'prima', 'dobrak', 'pintu', 'ubah', 'milu', 'prima', 'juga', 'perjuangin', 'amp', 'pintu', 'buka', 'bagaimana', 'bobrok', 'kpu', 'eh', 'keroyok', 'tuduh', 'tunda', 'milu']"
prima sadar udah perjuangin amp pintu buka gimana bobrok kpu eh tuduh tunda milu,negatif,prima sadar sudah perjuangin amp pintu buka bagaimana bobrok kpu eh tuduh tunda milu,"['prima', 'sadar', 'sudah', 'perjuangin', 'amp', 'pintu', 'buka', 'bagaimana', 'bobrok', 'kpu', 'eh', 'tuduh', 'tunda', 'milu']","['prima', 'sadar', 'sudah', 'perjuangin', 'amp', 'pintu', 'buka', 'bagaimana', 'bobrok', 'kpu', 'eh', 'tuduh', 'tunda', 'milu']"
paket periode nih tambah periode panjang tunda milu ada konsep lempar kaos sertifikat tanah keliling bawa gerobak sembako rindu demo ekonomi roket rp stop hutang ln,negatif,paket periode nih tambah periode panjang tunda milu ada konsep lempar kaos sertifikat tanah keliling bawa gerobak sembako rindu demo ekonomi roket rp stop hutang ln,"['paket', 'periode', 'nih', 'tambah', 'periode', 'panjang', 'tunda', 'milu', 'ada', 'konsep', 'lempar', 'kaos', 'sertifikat', 'tanah', 'keliling', 'bawa', 'gerobak', 'sembako', 'rindu', 'demo', 'ekonomi', 'roket', 'rp', 'stop', 'hutang', 'ln']","['paket', 'period', 'nih', 'tambah', 'period', 'panjang', 'tunda', 'milu', 'ada', 'konsep', 'lempar', 'kao', 'sertifikat', 'tanah', 'kelil', 'bawa', 'gerobak', 'sembako', 'rindu', 'demo', 'ekonomi', 'roket', 'rp', 'stop', 'hutang', 'ln']"
admin nya hoax isu bilang jokowi periode tdk bukti bilang jokowi tunda milu tdk bukti ganti dgn isu kpu atur ganjar erick menang pilpres daftar kpu aja amp calon,negatif,admin nya hoax isu bilang jokowi periode tidak bukti bilang jokowi tunda milu tidak bukti ganti dengan isu kpu atur ganjar erick menang pilpres daftar kpu saja amp calon,"['admin', 'nya', 'hoax', 'isu', 'bilang', 'jokowi', 'periode', 'tidak', 'bukti', 'bilang', 'jokowi', 'tunda', 'milu', 'tidak', 'bukti', 'ganti', 'dengan', 'isu', 'kpu', 'atur', 'ganjar', 'erick', 'menang', 'pilpres', 'daftar', 'kpu', 'saja', 'amp', 'calon']","['admin', 'nya', 'hoax', 'isu', 'bilang', 'jokowi', 'period', 'tidak', 'bukti', 'bilang', 'jokowi', 'tunda', 'milu', 'tidak', 'bukti', 'ganti', 'dengan', 'isu', 'kpu', 'atur', 'ganjar', 'erick', 'menang', 'pilpr', 'daftar', 'kpu', 'saja', 'amp', 'calon']"
kirain tunda milu,positif,mengira tunda milu,"['mengira', 'tunda', 'milu']","['mengira', 'tunda', 'milu']"
ga seh bawaslu emang ancur biar milu besok ragu kredibilitas endingnya tunda milu milu ulang    ,negatif,tidak sih bawaslu memang hancur biar milu besok ragu kredibilitas endingnya tunda milu milu ulang,"['tidak', 'sih', 'bawaslu', 'memang', 'hancur', 'biar', 'milu', 'besok', 'ragu', 'kredibilitas', 'endingnya', 'tunda', 'milu', 'milu', 'ulang']","['tidak', 'sih', 'bawaslu', 'memang', 'hancur', 'biar', 'milu', 'besok', 'ragu', 'kredibilita', 'endingnya', 'tunda', 'milu', 'milu', 'ulang']"
lancar milu undur biar lambaga survey merlilis elektabilitas anis ab rendah bacapres milu tunda alas,positif,lancar milu undur biar lambaga survey merlilis elektabilitas anis ab rendah bacapres milu tunda alas,"['lancar', 'milu', 'undur', 'biar', 'lambaga', 'survey', 'merlilis', 'elektabilitas', 'anis', 'ab', 'rendah', 'bacapres', 'milu', 'tunda', 'alas']","['lancar', 'milu', 'undur', 'biar', 'lambaga', 'survey', 'merlili', 'elektabilita', 'ani', 'ab', 'rendah', 'bacapr', 'milu', 'tunda', 'ala']"
pupus periode utk coba milu tunda tinggal tunggu turun jabat aja yaaa,positif,pupus periode untuk coba milu tunda tinggal tunggu turun jabat saja ya,"['pupus', 'periode', 'untuk', 'coba', 'milu', 'tunda', 'tinggal', 'tunggu', 'turun', 'jabat', 'saja', 'ya']","['pupu', 'period', 'untuk', 'coba', 'milu', 'tunda', 'tinggal', 'tunggu', 'turun', 'jabat', 'saja', 'ya']"
nih bener banget track record cak imin yg minim etika moralitas sih dukung orang kaya gitu pragmatisme yg halal dsb lempar ide tunda milu getol jg nih ken jd cawapres badut bgt,positif,nih benar banget track record cak imin yang minim etika moralitas sih dukung orang kayak begitu pragmatisme yang halal dsb lempar ide tunda milu getol juga nih ken jadi cawapres badut banget,"['nih', 'benar', 'banget', 'track', 'record', 'cak', 'imin', 'yang', 'minim', 'etika', 'moralitas', 'sih', 'dukung', 'orang', 'kayak', 'begitu', 'pragmatisme', 'yang', 'halal', 'dsb', 'lempar', 'ide', 'tunda', 'milu', 'getol', 'juga', 'nih', 'ken', 'jadi', 'cawapres', 'badut', 'banget']","['nih', 'benar', 'banget', 'track', 'record', 'cak', 'imin', 'yang', 'minim', 'etika', 'moralita', 'sih', 'dukung', 'orang', 'kayak', 'begitu', 'pragmatism', 'yang', 'halal', 'dsb', 'lempar', 'ide', 'tunda', 'milu', 'getol', 'juga', 'nih', 'ken', 'jadi', 'cawapr', 'badut', 'banget']"
kata ku sombong pdip jago pilih pdip pd paksa gagal dlm skenario tunda milu periode        ,negatif,kata ku sombong pdip jago pilih pdip pada paksa gagal dalam skenario tunda milu periode,"['kata', 'ku', 'sombong', 'pdip', 'jago', 'pilih', 'pdip', 'pada', 'paksa', 'gagal', 'dalam', 'skenario', 'tunda', 'milu', 'periode']","['kata', 'ku', 'sombong', 'pdip', 'jago', 'pilih', 'pdip', 'pada', 'paksa', 'gagal', 'dalam', 'skenario', 'tunda', 'milu', 'period']"
maaf milu tunda             ,positif,maaf milu tunda,"['maaf', 'milu', 'tunda']","['maaf', 'milu', 'tunda']"
pingin periode gagal pingin tunda milu gagal cari benar hobby akh kepala lu peang,negatif,pengin periode gagal pengin tunda milu gagal cari benar hobby akh kepala lu peang,"['pengin', 'periode', 'gagal', 'pengin', 'tunda', 'milu', 'gagal', 'cari', 'benar', 'hobby', 'akh', 'kepala', 'lu', 'peang']","['pengin', 'period', 'gagal', 'pengin', 'tunda', 'milu', 'gagal', 'cari', 'benar', 'hobbi', 'akh', 'kepala', 'lu', 'peang']"
syukur wacana tunda milu jabat presiden periode henti,positif,syukur wacana tunda milu jabat presiden periode henti,"['syukur', 'wacana', 'tunda', 'milu', 'jabat', 'presiden', 'periode', 'henti']","['syukur', 'wacana', 'tunda', 'milu', 'jabat', 'presiden', 'period', 'henti']"
baik mega patah gera tunda milu presiden periode,positif,baik mega patah gera tunda milu presiden periode,"['baik', 'mega', 'patah', 'gera', 'tunda', 'milu', 'presiden', 'periode']","['baik', 'mega', 'patah', 'gera', 'tunda', 'milu', 'presiden', 'period']"
